satisfaction_level,last_evaluation,number_project,average_monthly_hours,tenure,work_accident,promotion_last_5years,department,salary,amh_x_last_eval,left
0.52,0.78,3,181,3,0,0,RandD,medium,0.260660046728972,0
0.88,0.58,5,266,3,1,0,marketing,medium,0.2730724299065419,0
0.22,0.52,5,147,5,1,0,RandD,low,0.05957943925233644,0
0.96,0.75,5,176,4,0,0,sales,low,0.22780373831775702,0
0.09,0.94,6,257,4,0,0,sales,low,0.681804906542056,1
0.1,0.96,6,303,4,0,0,sales,low,0.9068341121495327,1
0.44,0.54,2,127,3,0,0,management,medium,0.040741822429906566,1
0.74,0.97,3,239,4,1,0,sales,medium,0.6369012850467289,0
0.8,0.74,2,205,3,1,0,sales,low,0.3024240654205608,0
0.68,0.97,3,250,3,1,0,product_mng,medium,0.6858936915887851,0
0.17,0.79,2,126,5,0,0,marketing,medium,0.09418808411214954,0
0.49,0.68,4,201,4,0,0,sales,medium,0.24532710280373832,0
0.74,0.88,5,183,3,1,0,accounting,medium,0.33031542056074764,0
0.56,0.82,3,208,2,0,0,support,medium,0.3761682242990654,0
0.59,0.6,3,214,2,1,0,product_mng,low,0.20677570093457942,0
0.12,0.55,5,242,4,0,0,marketing,medium,0.2025408878504674,0
0.83,0.92,5,267,6,0,0,support,low,0.6991822429906541,1
0.95,0.86,5,143,3,0,0,technical,medium,0.17158294392523363,0
0.99,0.95,4,102,5,0,0,IT,low,0.025846962616822435,0
0.61,0.95,4,174,4,0,0,sales,low,0.33601051401869164,0
0.91,0.67,3,143,3,0,0,support,low,0.10638142523364484,0
0.82,0.99,4,263,6,0,0,technical,medium,0.7681804906542056,1
0.5,0.89,5,222,3,0,0,sales,low,0.48758761682242996,0
0.91,0.78,3,269,3,1,0,technical,high,0.5305198598130841,0
0.76,0.8,5,229,2,0,0,marketing,medium,0.4272780373831776,0
0.83,0.62,4,218,3,0,0,sales,low,0.23160046728971964,0
0.75,0.85,3,250,6,0,0,technical,medium,0.550963785046729,0
0.74,0.88,4,248,6,0,0,accounting,low,0.5771028037383177,1
0.26,0.9,4,266,5,0,0,technical,medium,0.6702686915887849,0
0.6,0.98,4,195,3,0,0,support,medium,0.448160046728972,0
0.52,0.97,4,170,3,0,0,support,medium,0.32958528037383183,0
0.64,0.5,4,253,10,0,1,management,high,0.16048481308411217,0
0.61,0.84,4,265,2,0,0,IT,low,0.5922897196261683,0
0.56,0.59,3,223,3,0,0,support,medium,0.2132739485981308,0
0.87,0.54,4,211,3,0,0,technical,medium,0.1511390186915888,0
0.96,0.84,3,264,3,0,0,RandD,low,0.5887850467289719,0
0.61,0.71,3,152,4,1,0,support,medium,0.14310747663551404,0
0.43,0.51,2,149,3,1,0,accounting,medium,0.058046144859813076,1
0.83,0.93,3,247,2,0,0,hr,low,0.6284316588785046,0
0.13,1.0,4,157,5,1,0,technical,low,0.2850467289719626,0
0.39,0.54,2,149,3,0,0,RandD,low,0.0696553738317757,1
0.81,0.54,3,215,4,1,0,sales,low,0.15639602803738314,0
0.83,0.91,4,210,4,0,0,technical,low,0.4577978971962616,0
0.88,0.89,2,201,3,0,0,accounting,high,0.4063230140186916,0
0.56,0.58,5,266,3,0,0,technical,low,0.2730724299065419,0
0.53,0.7,3,138,2,0,0,sales,medium,0.1042640186915888,0
0.59,0.99,3,185,2,0,0,support,medium,0.4093896028037383,0
0.53,0.53,4,257,2,0,0,management,high,0.1998393691588785,0
0.67,0.55,5,193,3,0,0,technical,low,0.13456483644859818,0
0.64,1.0,4,201,2,0,0,sales,medium,0.49065420560747663,0
0.69,0.76,3,153,3,0,0,technical,medium,0.1664719626168224,0
0.98,0.86,2,219,4,0,0,sales,low,0.44903621495327095,0
0.74,0.86,3,221,2,0,0,support,medium,0.4563376168224299,0
0.89,0.84,3,166,2,0,0,support,high,0.24532710280373834,0
0.77,0.54,4,139,3,1,0,IT,low,0.05651285046728971,0
0.69,0.74,2,271,2,0,0,product_mng,low,0.4855432242990654,0
0.67,0.74,3,226,3,0,0,product_mng,low,0.36068925233644866,0
0.74,0.52,3,170,3,0,0,support,low,0.08644859813084113,0
0.58,0.43,6,132,3,0,0,sales,low,0.018399532710280376,0
0.49,0.71,2,117,3,0,0,marketing,high,0.05366530373831779,0
0.5,0.66,4,155,2,0,0,hr,medium,0.12923481308411214,0
0.22,0.88,4,213,3,1,0,technical,medium,0.44421728971962615,0
0.59,0.94,5,157,7,1,0,management,medium,0.2583235981308411,0
0.92,0.87,4,226,6,1,0,technical,medium,0.4840829439252337,1
0.19,0.83,5,280,4,0,0,RandD,low,0.6314252336448598,0
0.72,1.0,4,245,5,0,0,sales,low,0.6962616822429907,1
0.99,0.71,3,191,3,0,0,IT,low,0.24277161214953272,0
0.87,0.52,3,152,4,0,0,technical,low,0.06542056074766356,0
0.76,0.8,3,202,3,0,0,product_mng,medium,0.34053738317757004,0
1.0,0.72,5,194,7,1,0,sales,medium,0.2575934579439252,0
0.77,0.68,3,225,2,0,0,sales,low,0.3014018691588785,0
0.81,0.88,4,149,3,0,0,accounting,medium,0.20122663551401868,0
0.61,0.83,4,153,2,0,0,technical,low,0.19560455607476634,0
0.59,0.83,4,239,4,0,0,hr,high,0.49072721962616817,0
0.75,0.83,5,262,5,0,0,product_mng,low,0.5696553738317756,1
0.73,0.94,3,177,3,0,0,technical,low,0.3430198598130841,0
0.94,0.94,3,255,3,0,0,IT,low,0.6733352803738317,0
0.47,0.55,5,207,3,0,0,support,low,0.1539865654205608,0
0.93,0.77,3,202,5,0,0,support,high,0.3173189252336448,0
0.2,0.53,6,189,4,0,0,marketing,medium,0.11543516355140186,0
0.19,0.63,4,142,6,0,0,RandD,low,0.09068341121495328,0
0.93,0.84,3,237,4,1,0,sales,low,0.4941588785046729,0
0.97,0.64,3,237,3,0,0,IT,medium,0.28825934579439255,0
0.87,0.77,4,261,3,0,0,technical,low,0.4939398364485981,0
0.54,0.83,3,201,3,0,0,accounting,high,0.3603241822429907,0
0.87,0.73,5,184,3,0,0,product_mng,low,0.2377336448598131,0
0.97,0.4,4,258,4,1,0,technical,medium,0.047313084112149524,0
0.72,0.71,5,137,3,0,0,technical,low,0.10477511682242989,0
0.99,0.7,3,219,3,0,0,support,low,0.3053446261682242,0
0.43,0.63,3,156,3,0,0,sales,medium,0.11828271028037385,0
0.98,0.62,5,254,5,1,0,sales,low,0.2999415887850468,0
0.24,0.53,6,165,5,0,0,hr,low,0.08564544392523364,0
0.54,0.5,4,146,2,0,0,support,medium,0.05110981308411215,0
0.17,0.59,6,160,2,0,0,IT,low,0.1074766355140187,0
0.99,0.64,3,174,4,0,0,IT,low,0.15946261682242993,0
0.74,0.92,4,226,3,0,0,hr,medium,0.5315420560747665,0
0.33,0.72,2,173,2,0,0,marketing,low,0.2023948598130841,0
0.74,0.75,4,149,3,0,0,technical,low,0.150919976635514,0
0.58,0.71,4,145,3,1,1,RandD,medium,0.12521904205607476,0
0.92,1.0,4,261,4,0,0,sales,medium,0.7710280373831776,0
1.0,0.52,4,171,4,0,0,hr,medium,0.08761682242990654,0
0.81,0.55,3,127,4,0,0,support,medium,0.043005257009345835,0
0.35,0.8,6,281,2,0,0,sales,medium,0.5943341121495327,1
0.25,0.64,4,226,5,0,0,management,medium,0.26577102803738323,0
0.56,0.68,4,220,2,0,0,support,medium,0.2897196261682243,0
0.92,0.68,5,210,2,0,0,product_mng,low,0.26635514018691586,0
0.56,0.86,5,252,2,0,0,IT,medium,0.5695093457943925,1
0.79,0.77,6,233,6,0,0,sales,low,0.41011974299065423,0
0.1,0.81,7,244,5,0,0,hr,medium,0.4862733644859813,1
0.69,0.9,6,224,4,0,1,RandD,low,0.5046728971962616,0
0.48,0.52,3,280,2,0,0,hr,medium,0.21495327102803738,0
0.62,0.58,3,192,2,0,0,IT,low,0.15420560747663545,0
0.71,0.96,5,135,4,1,0,marketing,low,0.17085280373831774,0
0.48,0.73,5,152,6,0,0,IT,medium,0.15128504672897197,0
0.65,0.87,4,267,2,0,0,technical,low,0.6367552570093458,0
0.88,0.82,3,244,3,0,0,sales,low,0.49707943925233644,0
0.87,0.57,4,231,4,0,0,technical,medium,0.2069947429906541,0
0.84,0.62,5,245,4,0,0,technical,medium,0.28285630841121495,0
0.44,0.57,2,141,3,0,0,product_mng,medium,0.06899824766355137,1
0.8,0.64,5,180,2,0,0,support,low,0.17172897196261683,0
0.74,0.93,6,225,4,0,0,technical,low,0.5368720794392523,0
0.76,0.5,3,258,3,0,0,IT,low,0.16559579439252334,0
0.55,0.69,3,225,2,0,0,sales,medium,0.31082067757009346,0
0.84,0.99,4,262,6,0,0,accounting,medium,0.7635806074766354,1
0.83,0.95,4,251,5,0,0,marketing,medium,0.6677132009345793,1
0.64,0.4,3,248,3,0,0,product_mng,medium,0.04439252336448598,0
0.81,0.86,5,159,2,0,0,accounting,medium,0.22999415887850466,0
0.72,0.91,3,239,2,0,0,management,medium,0.5742552570093458,0
0.45,0.45,4,168,2,0,0,sales,low,0.04731308411214954,0
0.67,0.39,2,207,7,0,0,sales,medium,0.024313668224299066,0
0.15,0.59,5,209,4,1,0,support,medium,0.18976343457943926,0
0.85,0.65,3,187,2,0,0,management,high,0.19268399532710279,0
0.55,0.7,3,237,4,0,0,sales,low,0.35002920560747663,0
0.93,0.98,3,238,2,0,0,marketing,low,0.6428154205607477,0
0.91,0.63,5,240,7,0,0,sales,medium,0.28387850467289716,0
0.89,0.71,5,182,2,1,0,hr,medium,0.21977219626168226,0
0.76,0.65,3,220,3,0,0,sales,low,0.26255841121495327,0
0.78,0.84,3,233,3,1,0,IT,low,0.4801401869158879,0
0.76,0.52,2,148,3,0,0,sales,high,0.060747663551401876,0
0.36,0.62,4,111,6,0,0,IT,low,0.028475467289719652,0
0.85,0.78,4,106,2,0,0,technical,low,0.030665887850467293,0
0.49,0.92,5,176,3,0,0,marketing,low,0.3271028037383178,0
0.23,0.94,4,142,4,0,0,sales,medium,0.1948014018691589,0
0.09,0.92,7,254,4,0,0,sales,medium,0.6460280373831776,1
0.84,0.94,4,246,2,1,0,support,medium,0.6352219626168225,0
0.77,0.57,4,238,3,0,0,sales,high,0.2177278037383177,0
0.79,0.79,4,231,2,0,0,sales,low,0.4238463785046728,0
0.21,0.72,3,245,6,0,0,IT,high,0.39164719626168226,0
0.45,0.51,2,156,3,0,0,sales,medium,0.06571261682242992,1
0.82,0.57,2,158,3,1,0,hr,medium,0.09506425233644858,0
0.9,0.56,3,149,2,0,0,sales,high,0.07739485981308412,0
0.94,0.8,5,111,4,0,1,RandD,medium,0.04818925233644864,0
0.67,0.97,5,239,3,0,0,support,low,0.6369012850467289,0
0.68,0.79,4,184,3,0,0,marketing,low,0.276285046728972,0
0.82,0.76,3,219,8,1,0,IT,low,0.35922897196261677,0
0.8,0.75,3,181,3,0,0,marketing,medium,0.24204147196261683,0
0.48,0.68,4,163,2,1,0,technical,low,0.15654205607476634,0
0.8,0.78,3,251,3,0,0,sales,high,0.4753212616822429,0
0.16,0.52,3,100,4,0,0,support,medium,0.004672897196261683,0
0.95,0.64,3,138,4,1,0,technical,low,0.08586448598130841,0
0.8,0.86,5,262,6,0,0,sales,medium,0.6060163551401868,1
0.66,0.76,3,207,2,0,0,accounting,low,0.32418224299065423,0
0.32,0.86,4,214,5,0,0,sales,medium,0.4307827102803738,0
0.85,0.64,4,188,3,0,0,hr,low,0.18808411214953275,0
0.41,0.56,2,143,3,0,0,technical,low,0.06863317757009348,1
0.81,0.5,5,205,3,0,0,sales,medium,0.11141939252336448,0
0.96,0.48,3,182,2,1,0,support,medium,0.07535046728971964,0
0.51,0.75,3,133,3,0,0,sales,medium,0.10535922897196259,0
0.59,0.7,2,153,2,0,0,support,medium,0.14150116822429906,0
0.6,0.72,4,267,4,0,0,support,low,0.4494742990654205,0
0.46,0.57,2,139,3,0,0,sales,low,0.06593165887850463,1
0.9,0.51,4,214,2,0,0,sales,low,0.12923481308411214,0
0.77,0.5,5,170,2,0,0,support,low,0.07564252336448599,0
0.87,0.88,3,179,2,0,0,sales,medium,0.3151285046728972,0
0.99,0.81,5,180,3,1,0,technical,medium,0.2759929906542056,0
0.83,0.98,4,259,5,0,0,support,medium,0.7378796728971961,1
0.98,0.62,3,140,4,0,0,marketing,low,0.08352803738317757,0
0.36,0.44,5,155,3,0,0,technical,medium,0.0344626168224299,0
0.83,0.78,5,250,2,1,0,sales,low,0.4722546728971963,0
0.14,0.77,4,166,5,0,0,sales,low,0.20955023364485983,0
0.96,0.53,3,158,4,0,0,technical,medium,0.0769567757009346,0
0.89,0.52,4,189,3,0,0,support,medium,0.10864485981308411,0
0.78,0.93,5,225,5,0,0,sales,low,0.5368720794392523,1
0.64,0.86,4,248,6,0,0,marketing,medium,0.5549065420560747,0
0.72,0.73,3,198,2,0,0,technical,low,0.27555490654205606,0
0.11,0.95,6,271,4,0,0,IT,low,0.7538697429906541,1
0.8,0.9,4,136,3,0,0,technical,low,0.15771028037383178,0
0.82,0.55,3,217,4,1,0,technical,medium,0.16785922897196268,0
0.91,0.65,5,174,2,0,0,technical,medium,0.16515771028037385,0
0.63,0.63,5,252,2,0,0,product_mng,low,0.307535046728972,0
0.52,0.79,4,234,3,0,0,support,low,0.4332651869158879,0
0.11,0.87,6,273,4,0,0,sales,low,0.659097546728972,1
0.37,0.71,6,266,5,0,0,IT,low,0.4344334112149532,0
0.49,0.67,6,286,4,0,0,sales,low,0.4300525700934579,0
1.0,0.41,4,174,3,0,0,technical,low,0.028475467289719628,0
0.98,0.98,5,210,6,0,0,sales,low,0.5160630841121495,0
0.94,0.99,3,207,2,0,0,sales,medium,0.5105870327102804,0
0.58,0.75,4,255,3,0,0,sales,medium,0.452759929906542,0
0.62,0.69,4,184,3,0,0,technical,low,0.21203271028037385,0
